id,name,nasa_jpl_url,absolute_magnitude_h,is_potentially_hazardous_asteroid,is_sentry_object,diameter_min_meters,diameter_max_meters,diameter_avg_meters,close_approach_date,epoch_date_close_approach,relative_velocity_km_per_sec,relative_velocity_km_per_hour,relative_velocity_miles_per_hour,miss_distance_astronomical,miss_distance_lunar,miss_distance_kilometers,miss_distance_miles,orbiting_body
54542332,(2025 QD8),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54542332,26.07,False,False,16.238839022,36.3111479288,26.2749934754,2025-09-03,1756911480000,12.7904133243,46045.487967345,28610.8755650428,0.0014594294,0.5677180366,218327.529655378,135662.4361770964,Earth
54542334,(2025 QH8),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54542334,24.51,False,False,33.3084924299,74.4800533014,53.89427286565,2025-09-03,1756910280000,4.9010386504,17643.7391414635,10963.1333570944,0.1110246625,43.1885937125,16609053.027468875,10320386.988565475,Earth
54543099,(2025 QG16),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54543099,26.3,False,True,14.6067964271,32.6617897446,23.63429308585,2025-09-03,1756865520000,11.8623566175,42704.4838231498,26534.9055177788,0.0166089233,6.4608711637,2484659.548673371,1543895.8521436798,Earth
54543399,(2025 QE20),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54543399,24.31,False,False,36.5220356958,81.6657544926,59.0938950942,2025-09-03,1756942320000,14.8913833,53608.9798801616,33310.5353038704,0.0826549266,32.1527664474,12365000.964366342,7683255.3219738396,Earth
54543543,(2025 RA),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54543543,25.51,False,False,21.0162379322,46.9937366478,34.00498729,2025-09-03,1756917300000,5.8743975289,21147.8311039422,13140.4398323357,0.047861987,18.618312943,7160051.30916769,4449049.578346522,Earth
54544435,(2025 RM1),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54544435,24.67,False,True,30.9424698617,69.1894660026,50.06596793215,2025-09-03,1756923960000,12.5555804223,45200.0895202433,28085.5778466201,0.0006904729,0.2685939581,103293.275132723,64183.4649406574,Earth
54544767,(2025 RU1),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54544767,27.77,False,False,7.42258153,16.5973968696,12.0099891998,2025-09-03,1756938060000,7.2789881992,26204.3575169954,16282.3687027131,0.0044933013,1.7478942057,672188.303748231,417678.4439423478,Earth
54546127,(2025 RY6),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54546127,25.788,False,False,18.4907691488,41.3466167729,29.91869296085,2025-09-03,1756868040000,11.449506741,41218.2242676414,25611.4016289686,0.0245157146,9.5366129794,3667498.685687902,2278878.0103089676,Earth
3827310,(2018 RW1),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3827310,23.4,False,False,55.5334911581,124.1766612574,89.85507620775,2025-09-02,1756829280000,7.1607432502,25778.675700616,16017.8665763077,0.1609862627,62.6236561903,24083201.999180449,14964607.8042062362,Earth
3829481,(2018 RZ7),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3829481,23.8,False,False,46.1907460282,103.2856480504,74.7381970393,2025-09-02,1756840260000,10.4588318898,37651.794803415,23395.3610543775,0.3063506762,119.1704130418,45829408.632579694,28477074.0248160172,Earth
